path,ground truth
D:\EES-FM\Compression\Flickr\compressed/00001_120_7_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00001_140_8_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00002_140_-3_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00002_90_7_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00003_120_0_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00003_90_7_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00004_120_0_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00004_60_7_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00008_120_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00008_140_0_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00011_140_-1_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00011_90_0_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00012_120_0_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00012_140_4_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00014_120_0_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00014_60_0_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00015_120_9_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00015_60_-2_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00016_60_0_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00016_90_0_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00017_120_0_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00017_140_-10_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00018_120_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00018_90_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00019_120_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00019_60_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00020_60_0_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00020_90_3_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00021_120_0_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00021_90_-2_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00023_60_-8_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00023_90_7_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00024_120_-2_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00024_120_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00027_60_6_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00027_90_0_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00034_60_5_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00034_90_6_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00036_60_8_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00036_90_-9_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00037_120_0_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00037_90_-5_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00039_120_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00039_140_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00040_120_0_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00040_60_8_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00042_120_0_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00042_90_0_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00043_120_0_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00043_60_-10_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00044_140_4_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00044_90_8_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00045_140_10_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00045_60_-9_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00046_120_-8_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00046_60_-6_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00047_60_0_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00047_90_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00048_60_-1_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00048_60_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00049_60_4_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00049_90_-9_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00052_140_1_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00052_140_8_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00053_140_-1_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00053_140_-7_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00055_90_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00055_90_0_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00056_140_0_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00056_60_0_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00057_140_0_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00057_140_5_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00058_120_3_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00058_60_-5_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00059_60_0_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00059_90_0_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00061_120_3_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00061_60_-1_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00064_140_0_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00064_90_-9_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00066_90_0_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00066_90_0_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00067_120_0_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00067_90_-2_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00072_140_10_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00072_60_10_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00073_120_-7_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00073_90_-7_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00074_120_6_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00074_60_-3_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00075_140_0_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00075_140_0_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00077_120_0_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00077_90_0_jp2_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00078_60_1_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00078_90_10_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00079_120_-9_jp2_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00079_60_0_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00080_60_0_jp2_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00080_90_3_jp2_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00081_60_0_jp2_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00081_60_0_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00082_120_0_jp2_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00082_120_8_jp2_50.png,compressed
