path,ground truth
D:\EES-FM\Compression\Flickr\compressed/00001_120_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00001_90_jpg_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00002_140_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00002_60_jpg_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00003_120_jpg_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00003_120_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00004_90_jpg_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00004_90_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00008_120_jpg_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00008_120_jpg_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00011_120_jpg_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00011_140_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00012_120_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00012_60_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00014_90_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00014_90_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00015_120_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00015_60_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00016_120_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00016_140_jpg_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00017_120_jpg_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00017_60_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00018_120_jpg_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00018_60_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00019_120_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00019_140_jpg_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00020_60_jpg_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00020_90_jpg_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00021_120_jpg_20.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00021_140_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00023_60_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00023_90_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00024_140_jpg_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00024_140_jpg_70.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00027_60_jpg_30.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00027_60_jpg_60.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00034_140_jpg_40.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00034_90_jpg_50.png,compressed
D:\EES-FM\Compression\Flickr\compressed/00036_120_jpg_30.png,compressed
