path,ground truth
EyesOpen\ARFace\EyesOpen\m-001-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-001-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-002-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-002-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-003-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-003-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-004-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-004-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-005-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-005-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-006-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-006-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-007-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-007-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-008-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-008-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-009-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-009-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-010-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-010-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-011-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-012-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-012-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-013-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-013-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-014-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-014-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-015-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-015-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-016-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-016-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-017-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-017-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-018-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-018-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-019-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-019-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-020-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-020-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-021-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-021-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-022-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-022-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-023-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-023-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-024-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-025-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-025-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-026-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-026-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-027-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-027-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-028-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-029-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-030-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-030-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-031-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-031-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-032-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-032-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-033-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-033-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-034-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-034-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-035-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-036-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-036-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-037-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-037-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-038-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-038-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-039-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-039-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-040-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-040-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-041-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-041-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-042-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-042-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-043-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-043-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-044-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-044-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-045-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-045-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-046-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-046-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-047-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-047-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-048-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-048-14.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-049-1.jpg,Eyes open
EyesOpen\ARFace\EyesOpen\m-049-14.jpg,Eyes open
