path,ground truth
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_Cap_1.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_Cap_2.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_Cap_3.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_Cap_4.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_Cap_5.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_CapScarf_1.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_CapScarf_2.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_CapScarf_3.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_CapScarf_4.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_CapScarf_5.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeard_1.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeard_2.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeard_3.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeard_4.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeard_5.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardCap_1.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardCap_2.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardCap_3.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardCap_4.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardCap_5.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardGlasses_1.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardGlasses_2.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardGlasses_3.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardGlasses_4.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeBeardGlasses_5.jpg,Eyes Occluded
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeMustache_1.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeMustache_2.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeMustache_3.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeMustache_4.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_FakeMustache_5.jpg,Eyes Visible
EyesVisible\Sejong_Face_Database\SejongFaceDB_imgs\SejongFaceDB_imgs\SJ_O_1_m_Glasses_1.jpg,Eyes Occluded
