path,ground truth
EyesVisible\COFW_Testset\img\1.jpg,0.000505561
EyesVisible\COFW_Testset\img\2.jpg,0.591204037
EyesVisible\COFW_Testset\img\3.jpg,0.356975381
EyesVisible\COFW_Testset\img\4.jpg,0.364213198
EyesVisible\COFW_Testset\img\5.jpg,0.025641026
EyesVisible\COFW_Testset\img\6.jpg,0
EyesVisible\COFW_Testset\img\7.jpg,0.140564471
EyesVisible\COFW_Testset\img\8.jpg,1
EyesVisible\COFW_Testset\img\9.jpg,0.044117647
EyesVisible\COFW_Testset\img\10.jpg,0.066516347
EyesVisible\COFW_Testset\img\11.jpg,0.093838863
EyesVisible\COFW_Testset\img\12.jpg,0
EyesVisible\COFW_Testset\img\13.jpg,0
EyesVisible\COFW_Testset\img\14.jpg,0
EyesVisible\COFW_Testset\img\15.jpg,0.234520124
EyesVisible\COFW_Testset\img\16.jpg,1
EyesVisible\COFW_Testset\img\17.jpg,0
EyesVisible\COFW_Testset\img\18.jpg,0
EyesVisible\COFW_Testset\img\19.jpg,1
EyesVisible\COFW_Testset\img\20.jpg,0.127023661
EyesVisible\COFW_Testset\img\21.jpg,0.028684471
EyesVisible\COFW_Testset\img\22.jpg,0
EyesVisible\COFW_Testset\img\23.jpg,0
EyesVisible\COFW_Testset\img\24.jpg,0.024691358
EyesVisible\COFW_Testset\img\25.jpg,0.136911281
EyesVisible\COFW_Testset\img\26.jpg,0.322845417
EyesVisible\COFW_Testset\img\27.jpg,0
EyesVisible\COFW_Testset\img\28.jpg,0
EyesVisible\COFW_Testset\img\29.jpg,0.044541485
EyesVisible\COFW_Testset\img\30.jpg,0
EyesVisible\COFW_Testset\img\31.jpg,0
EyesVisible\COFW_Testset\img\32.jpg,0.127501429
EyesVisible\COFW_Testset\img\33.jpg,0.029166667
EyesVisible\COFW_Testset\img\34.jpg,0.057655039
EyesVisible\COFW_Testset\img\35.jpg,0
EyesVisible\COFW_Testset\img\36.jpg,0.131498471
EyesVisible\COFW_Testset\img\37.jpg,0.244835966
EyesVisible\COFW_Testset\img\38.jpg,0.351190476
EyesVisible\COFW_Testset\img\39.jpg,0.474358974
EyesVisible\COFW_Testset\img\40.jpg,0.984387839
EyesVisible\COFW_Testset\img\41.jpg,0.181382979
EyesVisible\COFW_Testset\img\42.jpg,0.406177156
EyesVisible\COFW_Testset\img\43.jpg,0
EyesVisible\COFW_Testset\img\44.jpg,0.451709658
EyesVisible\COFW_Testset\img\45.jpg,0
EyesVisible\COFW_Testset\img\46.jpg,0
EyesVisible\COFW_Testset\img\47.jpg,0.997607656
EyesVisible\COFW_Testset\img\48.jpg,0
EyesVisible\COFW_Testset\img\49.jpg,1
EyesVisible\COFW_Testset\img\50.jpg,0.464326161
EyesVisible\COFW_Testset\img\51.jpg,0.027865405
EyesVisible\COFW_Testset\img\52.jpg,0.138921454
EyesVisible\COFW_Testset\img\53.jpg,0
EyesVisible\COFW_Testset\img\54.jpg,0.033502538
EyesVisible\COFW_Testset\img\55.jpg,0
EyesVisible\COFW_Testset\img\56.jpg,0.142361111
EyesVisible\COFW_Testset\img\57.jpg,0.251861882
EyesVisible\COFW_Testset\img\58.jpg,0
EyesVisible\COFW_Testset\img\59.jpg,0.497044335
EyesVisible\COFW_Testset\img\60.jpg,0.118309859
EyesVisible\COFW_Testset\img\61.jpg,0.950545922
EyesVisible\COFW_Testset\img\62.jpg,1
EyesVisible\COFW_Testset\img\63.jpg,0.031189084
EyesVisible\COFW_Testset\img\64.jpg,0
EyesVisible\COFW_Testset\img\65.jpg,0.055082624
EyesVisible\COFW_Testset\img\66.jpg,1
EyesVisible\COFW_Testset\img\67.jpg,0.990510083
EyesVisible\COFW_Testset\img\68.jpg,0.043125
EyesVisible\COFW_Testset\img\69.jpg,0.074524313
EyesVisible\COFW_Testset\img\70.jpg,0
EyesVisible\COFW_Testset\img\71.jpg,0
EyesVisible\COFW_Testset\img\72.jpg,0.43421765
EyesVisible\COFW_Testset\img\73.jpg,0
EyesVisible\COFW_Testset\img\74.jpg,0
EyesVisible\COFW_Testset\img\75.jpg,0
EyesVisible\COFW_Testset\img\76.jpg,0
EyesVisible\COFW_Testset\img\77.jpg,0
EyesVisible\COFW_Testset\img\78.jpg,0.033971292
EyesVisible\COFW_Testset\img\79.jpg,0
EyesVisible\COFW_Testset\img\80.jpg,0
EyesVisible\COFW_Testset\img\81.jpg,0
EyesVisible\COFW_Testset\img\82.jpg,0.014285714
EyesVisible\COFW_Testset\img\83.jpg,0.367275281
EyesVisible\COFW_Testset\img\84.jpg,0.077223851
EyesVisible\COFW_Testset\img\85.jpg,0
EyesVisible\COFW_Testset\img\86.jpg,0.021560575
EyesVisible\COFW_Testset\img\87.jpg,0
EyesVisible\COFW_Testset\img\88.jpg,0
EyesVisible\COFW_Testset\img\89.jpg,0
EyesVisible\COFW_Testset\img\90.jpg,0.096743295
EyesVisible\COFW_Testset\img\91.jpg,0.113340564
EyesVisible\COFW_Testset\img\92.jpg,0
EyesVisible\COFW_Testset\img\93.jpg,1
EyesVisible\COFW_Testset\img\94.jpg,0.417777778
EyesVisible\COFW_Testset\img\95.jpg,0
EyesVisible\COFW_Testset\img\96.jpg,0.283744974
EyesVisible\COFW_Testset\img\97.jpg,0.0125
EyesVisible\COFW_Testset\img\98.jpg,0
EyesVisible\COFW_Testset\img\99.jpg,0
EyesVisible\COFW_Testset\img\100.jpg,0.121516165
EyesVisible\COFW_Testset\img\101.jpg,0.186975826
EyesVisible\COFW_Testset\img\102.jpg,0.107040641
EyesVisible\COFW_Testset\img\103.jpg,0
EyesVisible\COFW_Testset\img\104.jpg,0.322080797
EyesVisible\COFW_Testset\img\105.jpg,0
EyesVisible\COFW_Testset\img\106.jpg,0
EyesVisible\COFW_Testset\img\107.jpg,0.001003009
EyesVisible\COFW_Testset\img\108.jpg,0.019689737
EyesVisible\COFW_Testset\img\109.jpg,0
EyesVisible\COFW_Testset\img\110.jpg,1
EyesVisible\COFW_Testset\img\111.jpg,0.02119883
EyesVisible\COFW_Testset\img\112.jpg,0
EyesVisible\COFW_Testset\img\113.jpg,0.019843101
EyesVisible\COFW_Testset\img\114.jpg,0.081097561
EyesVisible\COFW_Testset\img\115.jpg,0.389461627
EyesVisible\COFW_Testset\img\116.jpg,0
EyesVisible\COFW_Testset\img\117.jpg,0
EyesVisible\COFW_Testset\img\118.jpg,0
EyesVisible\COFW_Testset\img\119.jpg,0.190913485
EyesVisible\COFW_Testset\img\120.jpg,0.108924485
EyesVisible\COFW_Testset\img\121.jpg,0.050724638
EyesVisible\COFW_Testset\img\122.jpg,0.230971129
EyesVisible\COFW_Testset\img\123.jpg,0.240866035
EyesVisible\COFW_Testset\img\124.jpg,0.113235294
EyesVisible\COFW_Testset\img\125.jpg,0
EyesVisible\COFW_Testset\img\126.jpg,0.123261694
EyesVisible\COFW_Testset\img\127.jpg,0.311546841
EyesVisible\COFW_Testset\img\128.jpg,0
EyesVisible\COFW_Testset\img\129.jpg,0
EyesVisible\COFW_Testset\img\130.jpg,0
EyesVisible\COFW_Testset\img\131.jpg,0.043850267
EyesVisible\COFW_Testset\img\132.jpg,0.122235872
EyesVisible\COFW_Testset\img\133.jpg,0
EyesVisible\COFW_Testset\img\134.jpg,0
EyesVisible\COFW_Testset\img\135.jpg,0
EyesVisible\COFW_Testset\img\136.jpg,0.492117117
EyesVisible\COFW_Testset\img\137.jpg,0.040827147
EyesVisible\COFW_Testset\img\138.jpg,1
EyesVisible\COFW_Testset\img\139.jpg,0
EyesVisible\COFW_Testset\img\140.jpg,0
EyesVisible\COFW_Testset\img\141.jpg,0.024934383
EyesVisible\COFW_Testset\img\142.jpg,0
EyesVisible\COFW_Testset\img\143.jpg,0
EyesVisible\COFW_Testset\img\144.jpg,0.214869281
EyesVisible\COFW_Testset\img\145.jpg,0
EyesVisible\COFW_Testset\img\146.jpg,0.183200579
EyesVisible\COFW_Testset\img\147.jpg,0
EyesVisible\COFW_Testset\img\148.jpg,0.110471807
EyesVisible\COFW_Testset\img\149.jpg,0
EyesVisible\COFW_Testset\img\150.jpg,0
EyesVisible\COFW_Testset\img\151.jpg,0.350382128
EyesVisible\COFW_Testset\img\152.jpg,0
EyesVisible\COFW_Testset\img\153.jpg,0
EyesVisible\COFW_Testset\img\154.jpg,0
EyesVisible\COFW_Testset\img\155.jpg,0
EyesVisible\COFW_Testset\img\156.jpg,0.00613155
EyesVisible\COFW_Testset\img\157.jpg,0.1075
EyesVisible\COFW_Testset\img\158.jpg,1
EyesVisible\COFW_Testset\img\159.jpg,1
EyesVisible\COFW_Testset\img\160.jpg,0.935617247
EyesVisible\COFW_Testset\img\161.jpg,0.128733997
EyesVisible\COFW_Testset\img\162.jpg,0.00292113
EyesVisible\COFW_Testset\img\163.jpg,0.344662772
EyesVisible\COFW_Testset\img\164.jpg,0
EyesVisible\COFW_Testset\img\165.jpg,0
EyesVisible\COFW_Testset\img\166.jpg,0.268452381
EyesVisible\COFW_Testset\img\167.jpg,0.288484136
EyesVisible\COFW_Testset\img\168.jpg,0.059023837
EyesVisible\COFW_Testset\img\169.jpg,0
EyesVisible\COFW_Testset\img\170.jpg,0
EyesVisible\COFW_Testset\img\171.jpg,0
EyesVisible\COFW_Testset\img\172.jpg,0.253679318
EyesVisible\COFW_Testset\img\173.jpg,1
EyesVisible\COFW_Testset\img\174.jpg,0.239212718
EyesVisible\COFW_Testset\img\175.jpg,0.031512605
EyesVisible\COFW_Testset\img\176.jpg,0.074679943
EyesVisible\COFW_Testset\img\177.jpg,0
EyesVisible\COFW_Testset\img\178.jpg,0.166666667
EyesVisible\COFW_Testset\img\179.jpg,0.246395806
EyesVisible\COFW_Testset\img\180.jpg,0
EyesVisible\COFW_Testset\img\181.jpg,1
EyesVisible\COFW_Testset\img\182.jpg,1
EyesVisible\COFW_Testset\img\183.jpg,0
EyesVisible\COFW_Testset\img\184.jpg,1
EyesVisible\COFW_Testset\img\185.jpg,0
EyesVisible\COFW_Testset\img\186.jpg,0.001404494
EyesVisible\COFW_Testset\img\187.jpg,0
EyesVisible\COFW_Testset\img\188.jpg,0.222365869
EyesVisible\COFW_Testset\img\189.jpg,0
EyesVisible\COFW_Testset\img\190.jpg,0
EyesVisible\COFW_Testset\img\191.jpg,0.997435897
EyesVisible\COFW_Testset\img\192.jpg,0
EyesVisible\COFW_Testset\img\193.jpg,0.081700908
EyesVisible\COFW_Testset\img\194.jpg,1
EyesVisible\COFW_Testset\img\195.jpg,0
EyesVisible\COFW_Testset\img\196.jpg,0.707936508
EyesVisible\COFW_Testset\img\197.jpg,0
EyesVisible\COFW_Testset\img\198.jpg,0.118299445
EyesVisible\COFW_Testset\img\199.jpg,1
EyesVisible\COFW_Testset\img\200.jpg,0.04931071
EyesVisible\COFW_Testset\img\201.jpg,0
EyesVisible\COFW_Testset\img\202.jpg,0.210801394
EyesVisible\COFW_Testset\img\203.jpg,0.523162446
EyesVisible\COFW_Testset\img\204.jpg,0.193188163
EyesVisible\COFW_Testset\img\205.jpg,0.058528428
EyesVisible\COFW_Testset\img\206.jpg,0
EyesVisible\COFW_Testset\img\207.jpg,0.092827004
EyesVisible\COFW_Testset\img\208.jpg,0
EyesVisible\COFW_Testset\img\209.jpg,0.01347978
EyesVisible\COFW_Testset\img\210.jpg,0
EyesVisible\COFW_Testset\img\211.jpg,0.392942584
EyesVisible\COFW_Testset\img\212.jpg,0.116104869
