path,ground truth
COFW_Testset\img\1.jpg,0.231383891
COFW_Testset\img\2.jpg,0.178593688
COFW_Testset\img\3.jpg,0.423070648
COFW_Testset\img\4.jpg,0.129390967
COFW_Testset\img\5.jpg,0.202441765
COFW_Testset\img\6.jpg,0.127065204
COFW_Testset\img\7.jpg,0.109602004
COFW_Testset\img\8.jpg,0.266382525
COFW_Testset\img\9.jpg,0.096750807
COFW_Testset\img\10.jpg,0.139291613
COFW_Testset\img\11.jpg,0.17637774
COFW_Testset\img\12.jpg,0.224870989
COFW_Testset\img\13.jpg,0
COFW_Testset\img\14.jpg,0.156303924
COFW_Testset\img\15.jpg,0.118929936
COFW_Testset\img\16.jpg,0.552370651
COFW_Testset\img\17.jpg,0.278535709
COFW_Testset\img\18.jpg,0.124376857
COFW_Testset\img\19.jpg,0.397019573
COFW_Testset\img\20.jpg,0.12843389
COFW_Testset\img\21.jpg,0.13996154
COFW_Testset\img\22.jpg,0.099162603
COFW_Testset\img\23.jpg,0.038503583
COFW_Testset\img\24.jpg,0.175282063
COFW_Testset\img\25.jpg,0.091858282
COFW_Testset\img\26.jpg,0.227265424
COFW_Testset\img\27.jpg,0.003173992
COFW_Testset\img\28.jpg,0.56253914
COFW_Testset\img\29.jpg,0.198432856
COFW_Testset\img\30.jpg,0.224314197
COFW_Testset\img\31.jpg,0.355042318
COFW_Testset\img\32.jpg,0.447564083
COFW_Testset\img\33.jpg,0.316719972
COFW_Testset\img\34.jpg,0.18294849
COFW_Testset\img\35.jpg,0.049696911
COFW_Testset\img\36.jpg,0.053532464
COFW_Testset\img\37.jpg,0.110717506
COFW_Testset\img\38.jpg,0.186781135
COFW_Testset\img\39.jpg,0.335555424
COFW_Testset\img\40.jpg,0.380922255
COFW_Testset\img\41.jpg,0.293681917
COFW_Testset\img\42.jpg,0.357681877
COFW_Testset\img\43.jpg,0.313147502
COFW_Testset\img\44.jpg,0.487237027
COFW_Testset\img\45.jpg,0.009456522
COFW_Testset\img\46.jpg,0.050394077
COFW_Testset\img\47.jpg,0.359218045
COFW_Testset\img\48.jpg,0.175215338
COFW_Testset\img\49.jpg,0.698749505
COFW_Testset\img\50.jpg,0.301211454
COFW_Testset\img\51.jpg,0.186797203
COFW_Testset\img\52.jpg,0.17211745
COFW_Testset\img\53.jpg,0.004941791
COFW_Testset\img\54.jpg,0.281958342
COFW_Testset\img\55.jpg,0.002445439
COFW_Testset\img\56.jpg,0.143233224
COFW_Testset\img\57.jpg,0.279590708
COFW_Testset\img\58.jpg,0.010820211
COFW_Testset\img\59.jpg,0.362508943
COFW_Testset\img\60.jpg,0.189856325
COFW_Testset\img\61.jpg,0.292211187
COFW_Testset\img\62.jpg,0.291989793
COFW_Testset\img\63.jpg,0.468435247
COFW_Testset\img\64.jpg,0.116108958
COFW_Testset\img\65.jpg,0.33405046
COFW_Testset\img\66.jpg,0.478243978
COFW_Testset\img\67.jpg,0.306128178
COFW_Testset\img\68.jpg,0.146952583
COFW_Testset\img\69.jpg,0.080378643
COFW_Testset\img\70.jpg,0.000368189
COFW_Testset\img\71.jpg,0.067798431
COFW_Testset\img\72.jpg,0.299660742
COFW_Testset\img\73.jpg,0.000265041
COFW_Testset\img\74.jpg,0.087537469
COFW_Testset\img\75.jpg,0
COFW_Testset\img\76.jpg,0.220836209
COFW_Testset\img\77.jpg,0.005257526
COFW_Testset\img\78.jpg,0.13197248
COFW_Testset\img\79.jpg,0.003015127
COFW_Testset\img\80.jpg,0.000152222
COFW_Testset\img\81.jpg,0.085670341
COFW_Testset\img\82.jpg,0.196036169
COFW_Testset\img\83.jpg,0.30566678
COFW_Testset\img\84.jpg,0.050213072
COFW_Testset\img\85.jpg,0.001507882
COFW_Testset\img\86.jpg,0.282864815
COFW_Testset\img\87.jpg,0.044503555
COFW_Testset\img\88.jpg,0.165758551
COFW_Testset\img\89.jpg,9.32E-05
COFW_Testset\img\90.jpg,0.126141243
COFW_Testset\img\91.jpg,0.121511322
COFW_Testset\img\92.jpg,0.246420691
COFW_Testset\img\93.jpg,0.386731557
COFW_Testset\img\94.jpg,0.180714085
COFW_Testset\img\95.jpg,0.000849321
COFW_Testset\img\96.jpg,0.079108392
COFW_Testset\img\97.jpg,0.02418337
COFW_Testset\img\98.jpg,0.000386764
COFW_Testset\img\99.jpg,0.00070406
COFW_Testset\img\100.jpg,0.087027828
COFW_Testset\img\101.jpg,0.327663475
COFW_Testset\img\102.jpg,0.114129842
COFW_Testset\img\103.jpg,0.081078332
COFW_Testset\img\104.jpg,0.225661128
COFW_Testset\img\105.jpg,0.046026822
COFW_Testset\img\106.jpg,0.146278993
COFW_Testset\img\107.jpg,0.108275413
COFW_Testset\img\108.jpg,0.339481583
COFW_Testset\img\109.jpg,0.00271291
COFW_Testset\img\110.jpg,0.296399678
COFW_Testset\img\111.jpg,0.15601058
COFW_Testset\img\112.jpg,0.00508177
COFW_Testset\img\113.jpg,0.362846085
COFW_Testset\img\114.jpg,0.10076557
COFW_Testset\img\115.jpg,0.277383767
COFW_Testset\img\116.jpg,0.007360552
COFW_Testset\img\117.jpg,0.21719457
COFW_Testset\img\118.jpg,0.01316561
COFW_Testset\img\119.jpg,0.119174652
COFW_Testset\img\120.jpg,0.135191472
COFW_Testset\img\121.jpg,0.348192887
COFW_Testset\img\122.jpg,0.210668646
COFW_Testset\img\123.jpg,0.296958378
COFW_Testset\img\124.jpg,0.351379576
COFW_Testset\img\125.jpg,0.003571625
COFW_Testset\img\126.jpg,0.243637455
COFW_Testset\img\127.jpg,0.182300885
COFW_Testset\img\128.jpg,0.077453343
COFW_Testset\img\129.jpg,0.012436762
COFW_Testset\img\130.jpg,0.105460203
COFW_Testset\img\131.jpg,0.305073078
COFW_Testset\img\132.jpg,0.041008235
COFW_Testset\img\133.jpg,0.122857693
COFW_Testset\img\134.jpg,0.171649255
COFW_Testset\img\135.jpg,0.082425466
COFW_Testset\img\136.jpg,0.269478519
COFW_Testset\img\137.jpg,0.193739378
COFW_Testset\img\138.jpg,0.414330626
COFW_Testset\img\139.jpg,0.005178637
COFW_Testset\img\140.jpg,0.160807259
COFW_Testset\img\141.jpg,0.436275565
COFW_Testset\img\142.jpg,0.151269135
COFW_Testset\img\143.jpg,0.084562383
COFW_Testset\img\144.jpg,0.135626398
COFW_Testset\img\145.jpg,0.076232494
COFW_Testset\img\146.jpg,0.398092292
COFW_Testset\img\147.jpg,0.000235616
COFW_Testset\img\148.jpg,0.114346465
COFW_Testset\img\149.jpg,0.002148997
COFW_Testset\img\150.jpg,0.029793685
COFW_Testset\img\151.jpg,0.23020075
COFW_Testset\img\152.jpg,0.138300499
COFW_Testset\img\153.jpg,0.000216029
COFW_Testset\img\154.jpg,0.010125468
COFW_Testset\img\155.jpg,0.068853998
COFW_Testset\img\156.jpg,0.022367457
COFW_Testset\img\157.jpg,0.283793389
COFW_Testset\img\158.jpg,0.37003818
COFW_Testset\img\159.jpg,0.380303667
COFW_Testset\img\160.jpg,0.333862938
COFW_Testset\img\161.jpg,0.168330956
COFW_Testset\img\162.jpg,0.29115
COFW_Testset\img\163.jpg,0.401642628
COFW_Testset\img\164.jpg,0.057089194
COFW_Testset\img\165.jpg,0.173786638
COFW_Testset\img\166.jpg,0.194290164
COFW_Testset\img\167.jpg,0.266230186
COFW_Testset\img\168.jpg,0.120057474
COFW_Testset\img\169.jpg,0.117962615
COFW_Testset\img\170.jpg,0.000534902
COFW_Testset\img\171.jpg,0.462094559
COFW_Testset\img\172.jpg,0.158902721
COFW_Testset\img\173.jpg,0.389398054
COFW_Testset\img\174.jpg,0.260096358
COFW_Testset\img\175.jpg,0.048079759
COFW_Testset\img\176.jpg,0.110248777
COFW_Testset\img\177.jpg,0.007302021
COFW_Testset\img\178.jpg,0.113188862
COFW_Testset\img\179.jpg,0.054050998
COFW_Testset\img\180.jpg,9.59E-05
COFW_Testset\img\181.jpg,0.273084479
COFW_Testset\img\182.jpg,0.304038121
COFW_Testset\img\183.jpg,0.094510765
COFW_Testset\img\184.jpg,0.297593335
COFW_Testset\img\185.jpg,0.005255545
COFW_Testset\img\186.jpg,0.475862069
COFW_Testset\img\187.jpg,0.265409513
COFW_Testset\img\188.jpg,0.22995192
COFW_Testset\img\189.jpg,0.408934708
COFW_Testset\img\190.jpg,0.0192909
COFW_Testset\img\191.jpg,0.322460333
COFW_Testset\img\192.jpg,0.052744202
COFW_Testset\img\193.jpg,0.077075099
COFW_Testset\img\194.jpg,0.301371827
COFW_Testset\img\195.jpg,0.380454968
COFW_Testset\img\196.jpg,0.359296998
COFW_Testset\img\197.jpg,0.007692631
COFW_Testset\img\198.jpg,0.40439717
COFW_Testset\img\199.jpg,0.338064005
COFW_Testset\img\200.jpg,0.295637975
COFW_Testset\img\201.jpg,0.032130686
COFW_Testset\img\202.jpg,0.046938563
COFW_Testset\img\203.jpg,0.200366886
COFW_Testset\img\204.jpg,0.107820536
COFW_Testset\img\205.jpg,0.314504165
COFW_Testset\img\206.jpg,0
COFW_Testset\img\207.jpg,0.080307056
COFW_Testset\img\208.jpg,0.301491456
COFW_Testset\img\209.jpg,0.054289763
COFW_Testset\img\210.jpg,0.091656874
COFW_Testset\img\211.jpg,0.224428437
COFW_Testset\img\212.jpg,0.071168805
COFW_Testset\img\213.jpg,0.241243605
COFW_Testset\img\214.jpg,0.324133684
COFW_Testset\img\215.jpg,0.042315419
COFW_Testset\img\216.jpg,0.404443486
COFW_Testset\img\217.jpg,0.181338113
COFW_Testset\img\218.jpg,0.266813793
COFW_Testset\img\219.jpg,0.041314404
COFW_Testset\img\220.jpg,0.17157653
COFW_Testset\img\221.jpg,0.36484758
COFW_Testset\img\222.jpg,0.001903755
COFW_Testset\img\223.jpg,0.223688516
COFW_Testset\img\224.jpg,0.018833674
COFW_Testset\img\225.jpg,0.085087809
COFW_Testset\img\226.jpg,0.066713116
COFW_Testset\img\227.jpg,0.563302671
COFW_Testset\img\228.jpg,0.165157837
COFW_Testset\img\229.jpg,9.11E-05
COFW_Testset\img\230.jpg,0.148113443
COFW_Testset\img\231.jpg,0.05623071
COFW_Testset\img\232.jpg,0.000693668
COFW_Testset\img\233.jpg,0.222960038
COFW_Testset\img\234.jpg,0.220034826
COFW_Testset\img\235.jpg,0.082929424
COFW_Testset\img\236.jpg,0.263852814
COFW_Testset\img\237.jpg,0.065401095
COFW_Testset\img\238.jpg,0.06109906
COFW_Testset\img\239.jpg,0.123993122
COFW_Testset\img\240.jpg,0.062541539
COFW_Testset\img\241.jpg,0.128791565
COFW_Testset\img\242.jpg,0.003350084
COFW_Testset\img\243.jpg,0.137296319
COFW_Testset\img\244.jpg,0.159462056
COFW_Testset\img\245.jpg,0.001934129
COFW_Testset\img\246.jpg,0.125394322
COFW_Testset\img\247.jpg,0.138095773
COFW_Testset\img\248.jpg,0.175888298
COFW_Testset\img\249.jpg,0
COFW_Testset\img\250.jpg,0.185370089
COFW_Testset\img\251.jpg,0.201361234
COFW_Testset\img\252.jpg,0.003116988
COFW_Testset\img\253.jpg,0.294127378
COFW_Testset\img\254.jpg,0.087492813
COFW_Testset\img\255.jpg,0.048208399
COFW_Testset\img\256.jpg,0.000538688
COFW_Testset\img\257.jpg,0.175013881
COFW_Testset\img\258.jpg,0.151951852
COFW_Testset\img\259.jpg,0.076662008
COFW_Testset\img\260.jpg,0.007665094
COFW_Testset\img\261.jpg,0.379304245
COFW_Testset\img\262.jpg,0.270667114
COFW_Testset\img\263.jpg,0.133521494
COFW_Testset\img\264.jpg,0.247121267
COFW_Testset\img\265.jpg,0.001277139
COFW_Testset\img\266.jpg,0.127324396
COFW_Testset\img\267.jpg,0.166755489
COFW_Testset\img\268.jpg,0.000108442
COFW_Testset\img\269.jpg,0.003078878
COFW_Testset\img\270.jpg,0.019071659
COFW_Testset\img\271.jpg,0.153001277
COFW_Testset\img\272.jpg,0.144767757
COFW_Testset\img\273.jpg,0.052599795
COFW_Testset\img\274.jpg,0.176023827
COFW_Testset\img\275.jpg,0.147849767
COFW_Testset\img\276.jpg,0.141464301
COFW_Testset\img\277.jpg,0.003995122
COFW_Testset\img\278.jpg,0.036783838
COFW_Testset\img\279.jpg,0.00747255
COFW_Testset\img\280.jpg,0.085579072
COFW_Testset\img\281.jpg,0.364208265
COFW_Testset\img\282.jpg,0.019133371
COFW_Testset\img\283.jpg,0.084335347
COFW_Testset\img\284.jpg,0.136330587
COFW_Testset\img\285.jpg,0.23669184
COFW_Testset\img\286.jpg,0.202747666
COFW_Testset\img\287.jpg,0.439275931
COFW_Testset\img\288.jpg,0.156055969
COFW_Testset\img\289.jpg,0.071284314
COFW_Testset\img\290.jpg,0.166380409
COFW_Testset\img\291.jpg,0.280993764
COFW_Testset\img\292.jpg,0.003256868
COFW_Testset\img\293.jpg,0.271600567
COFW_Testset\img\294.jpg,0.121129976
COFW_Testset\img\295.jpg,0.007830219
COFW_Testset\img\296.jpg,0.065478554
COFW_Testset\img\297.jpg,0.000731429
COFW_Testset\img\298.jpg,0.119325736
COFW_Testset\img\299.jpg,0.001608416
COFW_Testset\img\300.jpg,0.00560305
COFW_Testset\img\301.jpg,0.66440678
COFW_Testset\img\302.jpg,0.048127375
COFW_Testset\img\303.jpg,0.079518523
COFW_Testset\img\304.jpg,0
COFW_Testset\img\305.jpg,0.303924377
COFW_Testset\img\306.jpg,0.077085422
COFW_Testset\img\307.jpg,0.002928893
COFW_Testset\img\308.jpg,0.014861683
COFW_Testset\img\309.jpg,0.294096293
COFW_Testset\img\310.jpg,0.206239168
COFW_Testset\img\311.jpg,0.018462219
COFW_Testset\img\312.jpg,0.060124987
COFW_Testset\img\313.jpg,0.041014063
COFW_Testset\img\314.jpg,0.002356601
COFW_Testset\img\315.jpg,0.101165964
COFW_Testset\img\316.jpg,0.087571063
COFW_Testset\img\317.jpg,0.128639964
COFW_Testset\img\318.jpg,0.006438856
COFW_Testset\img\319.jpg,0.27876721
COFW_Testset\img\320.jpg,0.006147415
COFW_Testset\img\321.jpg,0.212700303
COFW_Testset\img\322.jpg,0.254748475
COFW_Testset\img\323.jpg,0.050400162
COFW_Testset\img\324.jpg,0.268476621
COFW_Testset\img\325.jpg,0.022944347
COFW_Testset\img\326.jpg,0.014803498
COFW_Testset\img\327.jpg,0.159207334
COFW_Testset\img\328.jpg,0.239755928
COFW_Testset\img\329.jpg,0.000295668
COFW_Testset\img\330.jpg,0.000100195
COFW_Testset\img\331.jpg,0.405466584
COFW_Testset\img\332.jpg,0.098229254
COFW_Testset\img\333.jpg,0
COFW_Testset\img\334.jpg,0.045679137
COFW_Testset\img\335.jpg,0.099116738
COFW_Testset\img\336.jpg,0.000786119
