path,pitch,yaw,roll
HeadPose\AFLW2000\image00002.jpg,-22.87423864,1.044306042,4.908885558
HeadPose\AFLW2000\image00004.jpg,26.93274217,68.15524071,17.24366975
HeadPose\AFLW2000\image00006.jpg,-10.57965225,50.48541155,-13.57064502
HeadPose\AFLW2000\image00008.jpg,-10.04845563,17.14337354,-21.39278257
HeadPose\AFLW2000\image00010.jpg,-50.54458148,68.64054614,-59.20797293
HeadPose\AFLW2000\image00013.jpg,-1.536199191,0.685565244,-12.643008
HeadPose\AFLW2000\image00014.jpg,3.272690263,6.344487161,-2.479920879
HeadPose\AFLW2000\image00019.jpg,12.79005088,1.287639855,-0.390124904
HeadPose\AFLW2000\image00020.jpg,-9.785001576,21.99579777,-25.02980366
HeadPose\AFLW2000\image00021.jpg,-1.542869724,-1.395476483,-3.257828626
HeadPose\AFLW2000\image00022.jpg,13.5477656,71.62278432,9.571312277
HeadPose\AFLW2000\image00023.jpg,-9.05860242,19.67921105,-21.86003068
HeadPose\AFLW2000\image00026.jpg,1.839517646,25.3356988,0.22292254
HeadPose\AFLW2000\image00028.jpg,-6.475126909,4.059741926,0.372228448
HeadPose\AFLW2000\image00035.jpg,-25.8583039,-28.2356571,28.96844419
HeadPose\AFLW2000\image00036.jpg,-32.78336439,67.95265047,-26.53073773
HeadPose\AFLW2000\image00039.jpg,-0.543284773,-2.549162562,3.311773673
HeadPose\AFLW2000\image00040.jpg,-11.14708729,0.233131752,0.231425058
HeadPose\AFLW2000\image00041.jpg,-6.404586422,0.797892774,4.669691479
HeadPose\AFLW2000\image00042.jpg,-11.00998234,-1.478917062,-7.720550432
HeadPose\AFLW2000\image00043.jpg,-12.7217174,-5.614596925,-2.53405525
HeadPose\AFLW2000\image00044.jpg,-5.870633396,-0.839005497,-2.138810773
HeadPose\AFLW2000\image00045.jpg,-10.27343438,-4.667913923,9.858469652
HeadPose\AFLW2000\image00046.jpg,-15.78876432,-16.18259645,5.527181602
HeadPose\AFLW2000\image00047.jpg,-2.542688823,-8.967192291,10.55864942
HeadPose\AFLW2000\image00048.jpg,-2.023768616,3.442287916,3.055179901
HeadPose\AFLW2000\image00049.jpg,-6.121577961,2.479656636,-1.190522997
HeadPose\AFLW2000\image00050.jpg,-4.663555835,0.939074065,5.635691964
HeadPose\AFLW2000\image00051.jpg,-1.53153065,2.096333826,4.641216848
HeadPose\AFLW2000\image00052.jpg,-5.694945136,-4.097454389,2.690101594
HeadPose\AFLW2000\image00053.jpg,-4.793926217,-5.620685185,2.584615299
HeadPose\AFLW2000\image00054.jpg,-8.579289626,-1.148209121,2.234392013
HeadPose\AFLW2000\image00055.jpg,-5.703166976,3.220806866,-1.676346668
HeadPose\AFLW2000\image00056.jpg,-2.571244563,0.834393518,0.532269118
HeadPose\AFLW2000\image00057.jpg,-2.601425675,-4.622591349,4.586144179
HeadPose\AFLW2000\image00058.jpg,-14.03765067,-4.851208452,5.081556582
HeadPose\AFLW2000\image00059.jpg,-7.182497158,-4.768707024,6.57242338
HeadPose\AFLW2000\image00060.jpg,0.53657742,-6.357892688,8.328095759
HeadPose\AFLW2000\image00061.jpg,2.244752343,-0.977620451,0.786620454
HeadPose\AFLW2000\image00062.jpg,4.351408506,-1.927281095,3.171457895
HeadPose\AFLW2000\image00063.jpg,-7.960219209,-2.140670078,0.853271948
HeadPose\AFLW2000\image00064.jpg,6.314108187,-0.113201634,2.563573621
HeadPose\AFLW2000\image00065.jpg,-7.908564196,0.13277669,5.191369802
HeadPose\AFLW2000\image00066.jpg,-8.605042854,1.309991009,10.39364486
HeadPose\AFLW2000\image00067.jpg,-8.613956251,-19.33560984,12.30396595
HeadPose\AFLW2000\image00070.jpg,-10.76739708,-9.40180918,14.78215324
HeadPose\AFLW2000\image00072.jpg,16.37791254,13.04980212,21.46220802
HeadPose\AFLW2000\image00074.jpg,-0.559439664,62.43760056,2.973571947
HeadPose\AFLW2000\image00075.jpg,-30.9565859,9.733699171,-15.13217824
HeadPose\AFLW2000\image00076.jpg,-12.47543187,-28.27554882,8.680941624
HeadPose\AFLW2000\image00077.jpg,-15.32225387,78.50771062,-26.99128885
HeadPose\AFLW2000\image00078.jpg,-2.295251133,40.78961993,4.711966081
HeadPose\AFLW2000\image00079.jpg,-17.387213,-3.139392292,-6.506892838
HeadPose\AFLW2000\image00080.jpg,9.963449659,2.544782276,-0.372139522
HeadPose\AFLW2000\image00081.jpg,4.464754642,17.90686404,-0.689365817
HeadPose\AFLW2000\image00082.jpg,-13.22238307,22.09760345,-5.494926888
HeadPose\AFLW2000\image00083.jpg,-0.140822452,-0.604428146,-9.690895229
HeadPose\AFLW2000\image00084.jpg,-25.01092331,9.146439506,-20.06750047
HeadPose\AFLW2000\image00087.jpg,-3.78364647,8.707626319,-2.155998517
HeadPose\AFLW2000\image00090.jpg,-10.57145432,12.42239204,1.405465955
HeadPose\AFLW2000\image00092.jpg,-15.11720646,-0.582576183,-1.459597765
HeadPose\AFLW2000\image00093.jpg,-7.551235165,0.65015909,-1.194138941
HeadPose\AFLW2000\image00095.jpg,-1.810369601,-19.33112241,0.5280193
HeadPose\AFLW2000\image00097.jpg,-7.115633021,-0.86725612,12.18546558
HeadPose\AFLW2000\image00098.jpg,-11.43008337,15.57334186,-2.05863289
HeadPose\AFLW2000\image00099.jpg,6.32583178,31.79498138,-25.37623939
HeadPose\AFLW2000\image00100.jpg,-18.02282187,-8.761568592,0.915316212
