path,yaw
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_00.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_01.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_02.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_03.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_04.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_05.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_06.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_07.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_08.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_09.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_10.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_11.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_12.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_13.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_14.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_15.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_16.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_17.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_18.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_010_19.jpg,75
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_00.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_01.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_02.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_03.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_04.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_05.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_06.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_07.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_08.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_09.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_10.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_11.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_12.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_13.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_14.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_15.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_16.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_17.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_18.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_041_19.jpg,30
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_00.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_01.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_02.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_03.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_04.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_05.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_06.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_07.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_08.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_09.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_10.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_11.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_12.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_13.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_14.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_15.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_16.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_17.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_18.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_050_19.jpg,15
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_00.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_01.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_02.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_03.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_04.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_05.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_06.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_07.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_08.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_09.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_10.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_11.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_12.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_13.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_14.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_15.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_16.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_17.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_18.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_051_19.jpg,0
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_00.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_01.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_02.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_03.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_04.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_05.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_06.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_07.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_08.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_09.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_10.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_11.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_12.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_13.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_14.jpg,-45
HeadPose\CMU_Multi_Pie_Uncropped\001_01_01_080_15.jpg,-45
