path,pitch,yaw
HeadPose\Pointing04\personne01100-90+0.jpg,-90,+0
HeadPose\Pointing04\personne01101-60-90.jpg,-60,-90
HeadPose\Pointing04\personne01102-60-75.jpg,-60,-75
HeadPose\Pointing04\personne01103-60-60.jpg,-60,-60
HeadPose\Pointing04\personne01104-60-45.jpg,-60,-45
HeadPose\Pointing04\personne01105-60-30.jpg,-60,-30
HeadPose\Pointing04\personne01106-60-15.jpg,-60,-15
HeadPose\Pointing04\personne01107-60+0.jpg,-60,+0
HeadPose\Pointing04\personne01108-60+15.jpg,-60,+15
HeadPose\Pointing04\personne01109-60+30.jpg,-60,+30
HeadPose\Pointing04\personne01110-60+45.jpg,-60,+45
HeadPose\Pointing04\personne01111-60+60.jpg,-60,+60
HeadPose\Pointing04\personne01112-60+75.jpg,-60,+75
HeadPose\Pointing04\personne01113-60+90.jpg,-60,+90
HeadPose\Pointing04\personne01114-30-90.jpg,-30,-90
HeadPose\Pointing04\personne01115-30-75.jpg,-30,-75
HeadPose\Pointing04\personne01116-30-60.jpg,-30,-60
HeadPose\Pointing04\personne01117-30-45.jpg,-30,-45
HeadPose\Pointing04\personne01118-30-30.jpg,-30,-30
HeadPose\Pointing04\personne01119-30-15.jpg,-30,-15
HeadPose\Pointing04\personne01120-30+0.jpg,-30,+0
HeadPose\Pointing04\personne01121-30+15.jpg,-30,+15
HeadPose\Pointing04\personne01122-30+30.jpg,-30,+30
HeadPose\Pointing04\personne01123-30+45.jpg,-30,+45
HeadPose\Pointing04\personne01124-30+60.jpg,-30,+60
HeadPose\Pointing04\personne01125-30+75.jpg,-30,+75
HeadPose\Pointing04\personne01126-30+90.jpg,-30,+90
HeadPose\Pointing04\personne01127-15-90.jpg,-15,-90
HeadPose\Pointing04\personne01128-15-75.jpg,-15,-75
HeadPose\Pointing04\personne01129-15-60.jpg,-15,-60
HeadPose\Pointing04\personne01130-15-45.jpg,-15,-45
HeadPose\Pointing04\personne01131-15-30.jpg,-15,-30
HeadPose\Pointing04\personne01132-15-15.jpg,-15,-15
