path,ground truth
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-200-228-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-201-060-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-202-122-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-203-077-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-204-067-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-205-155-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-206-079-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-207-023-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-208-003-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-209-006-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-210-050-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-211-066-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-212-097-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-213-126-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-214-139-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-215-70-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-216-106-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-217-155-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-218-157-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-219-106-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-220-107-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-221-147-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-222-134-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-223-183-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-224-026-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-225-141-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-226-251-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-227-207-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-228-173-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-229-160-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-230-193-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-231-357-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-232-078-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-233-190-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-234-208-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-235-170-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-236-145-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-237-223-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-238-185-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-239-171-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-240-206-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-241-141-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-242-158-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-243-170-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-244-168-N.jpg,Mouth Closed
MouthClosed\The Chicago Face Database\MouthClosed\CFD-AF-245-143-N.jpg,Mouth Closed
