path,ground truth
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0001_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0001_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0002_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0002_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0003_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0003_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0004_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0004_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0005_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0005_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0006_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0006_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0007_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0007_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0008_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0008_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0009_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0009_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0010_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0010_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0011_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0011_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0012_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0012_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0013_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0013_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0014_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0014_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0015_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0015_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0016_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0016_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0017_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0017_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0018_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0018_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0019_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0019_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0020_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0020_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0021_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0021_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0022_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0022_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0023_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0023_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0024_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0024_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0025_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0025_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0026_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0026_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0027_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0027_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0028_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0028_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0029_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0030_s1_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0030_s2_Neutral.bmp,Mouth Closed
MouthClosed\Eurecom Kinect Face\MouthClosed\rgb_0031_s1_Neutral.bmp,Mouth Closed
