path,ground truth
OcclusionOfMouth\COFW_Testset\img\1.jpg,0.125588697
OcclusionOfMouth\COFW_Testset\img\2.jpg,0
OcclusionOfMouth\COFW_Testset\img\3.jpg,0.783475783
OcclusionOfMouth\COFW_Testset\img\4.jpg,0
OcclusionOfMouth\COFW_Testset\img\5.jpg,0.361546499
OcclusionOfMouth\COFW_Testset\img\6.jpg,0.541809851
OcclusionOfMouth\COFW_Testset\img\7.jpg,0
OcclusionOfMouth\COFW_Testset\img\8.jpg,0
OcclusionOfMouth\COFW_Testset\img\9.jpg,0
OcclusionOfMouth\COFW_Testset\img\10.jpg,0.419672131
OcclusionOfMouth\COFW_Testset\img\11.jpg,0
OcclusionOfMouth\COFW_Testset\img\12.jpg,0.362068966
OcclusionOfMouth\COFW_Testset\img\13.jpg,0
OcclusionOfMouth\COFW_Testset\img\14.jpg,0.265306122
OcclusionOfMouth\COFW_Testset\img\15.jpg,0
OcclusionOfMouth\COFW_Testset\img\16.jpg,0.906870229
OcclusionOfMouth\COFW_Testset\img\17.jpg,0.428108108
OcclusionOfMouth\COFW_Testset\img\18.jpg,0.299895507
OcclusionOfMouth\COFW_Testset\img\19.jpg,0
OcclusionOfMouth\COFW_Testset\img\20.jpg,0
OcclusionOfMouth\COFW_Testset\img\21.jpg,0.015810277
OcclusionOfMouth\COFW_Testset\img\22.jpg,0.420326223
OcclusionOfMouth\COFW_Testset\img\23.jpg,0
OcclusionOfMouth\COFW_Testset\img\24.jpg,0.401267159
OcclusionOfMouth\COFW_Testset\img\25.jpg,0
OcclusionOfMouth\COFW_Testset\img\26.jpg,0.456910569
OcclusionOfMouth\COFW_Testset\img\27.jpg,0
OcclusionOfMouth\COFW_Testset\img\28.jpg,1
OcclusionOfMouth\COFW_Testset\img\29.jpg,0.925570228
OcclusionOfMouth\COFW_Testset\img\30.jpg,0.660859466
OcclusionOfMouth\COFW_Testset\img\31.jpg,0.558219178
OcclusionOfMouth\COFW_Testset\img\32.jpg,0.738955823
OcclusionOfMouth\COFW_Testset\img\33.jpg,0.024733269
OcclusionOfMouth\COFW_Testset\img\34.jpg,0.323529412
OcclusionOfMouth\COFW_Testset\img\35.jpg,0.204379562
OcclusionOfMouth\COFW_Testset\img\36.jpg,0
OcclusionOfMouth\COFW_Testset\img\37.jpg,0
OcclusionOfMouth\COFW_Testset\img\38.jpg,0
OcclusionOfMouth\COFW_Testset\img\39.jpg,0.049960349
OcclusionOfMouth\COFW_Testset\img\40.jpg,0
OcclusionOfMouth\COFW_Testset\img\41.jpg,0.838672769
OcclusionOfMouth\COFW_Testset\img\42.jpg,0.047993019
OcclusionOfMouth\COFW_Testset\img\43.jpg,0.436933798
OcclusionOfMouth\COFW_Testset\img\44.jpg,0
OcclusionOfMouth\COFW_Testset\img\45.jpg,0
OcclusionOfMouth\COFW_Testset\img\46.jpg,0
OcclusionOfMouth\COFW_Testset\img\47.jpg,0
OcclusionOfMouth\COFW_Testset\img\48.jpg,0
OcclusionOfMouth\COFW_Testset\img\49.jpg,0.755828221
OcclusionOfMouth\COFW_Testset\img\50.jpg,0
OcclusionOfMouth\COFW_Testset\img\51.jpg,0.327783559
OcclusionOfMouth\COFW_Testset\img\52.jpg,0.467741935
OcclusionOfMouth\COFW_Testset\img\53.jpg,0
OcclusionOfMouth\COFW_Testset\img\54.jpg,0.808199122
OcclusionOfMouth\COFW_Testset\img\55.jpg,0
OcclusionOfMouth\COFW_Testset\img\56.jpg,0
OcclusionOfMouth\COFW_Testset\img\57.jpg,0.013586957
OcclusionOfMouth\COFW_Testset\img\58.jpg,0
OcclusionOfMouth\COFW_Testset\img\59.jpg,0
OcclusionOfMouth\COFW_Testset\img\60.jpg,0
OcclusionOfMouth\COFW_Testset\img\61.jpg,0.317592593
OcclusionOfMouth\COFW_Testset\img\62.jpg,0
OcclusionOfMouth\COFW_Testset\img\63.jpg,0.832941176
OcclusionOfMouth\COFW_Testset\img\64.jpg,0.335955056
OcclusionOfMouth\COFW_Testset\img\65.jpg,0.4688
OcclusionOfMouth\COFW_Testset\img\66.jpg,0
OcclusionOfMouth\COFW_Testset\img\67.jpg,0
OcclusionOfMouth\COFW_Testset\img\68.jpg,0.355980861
OcclusionOfMouth\COFW_Testset\img\69.jpg,0
OcclusionOfMouth\COFW_Testset\img\70.jpg,0
OcclusionOfMouth\COFW_Testset\img\71.jpg,0.477801268
OcclusionOfMouth\COFW_Testset\img\72.jpg,0
OcclusionOfMouth\COFW_Testset\img\73.jpg,0
OcclusionOfMouth\COFW_Testset\img\74.jpg,0.393333333
OcclusionOfMouth\COFW_Testset\img\75.jpg,0
OcclusionOfMouth\COFW_Testset\img\76.jpg,0.197727273
OcclusionOfMouth\COFW_Testset\img\77.jpg,0
OcclusionOfMouth\COFW_Testset\img\78.jpg,0.372175981
OcclusionOfMouth\COFW_Testset\img\79.jpg,0
OcclusionOfMouth\COFW_Testset\img\80.jpg,0
OcclusionOfMouth\COFW_Testset\img\81.jpg,0
