path,ground truth
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-001-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-001-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-002-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-002-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-003-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-003-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-004-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-004-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-005-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-005-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-006-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-006-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-007-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-007-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-008-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-008-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-009-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-009-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-010-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-010-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-011-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-012-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-012-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-013-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-013-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-014-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-014-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-015-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-015-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-016-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-016-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-017-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-017-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-018-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-018-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-019-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-019-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-020-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-020-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-021-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-021-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-022-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-022-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-023-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-023-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-024-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-025-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-025-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-026-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-026-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-027-1.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-027-14.jpg,Natural Colour
NoUnnaturalColours\ARFace\Class_NaturalColours\UniformIllumination\m-028-1.jpg,Natural Colour
