path,ground truth
UnnaturalColor\color_cast\00002_940928_fa_blue_0_0_40.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fa_magenta_20_0_20.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fa_magenta_30_0_30.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fa_none_20_30_40.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_blue_0_0_40.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_cyan_0_10_10.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_cyan_0_20_20.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_cyan_0_30_30.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_green_0_20_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_green_0_30_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_magenta_30_0_30.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_none_20_30_40.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_none_20_40_20.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_none_40_30_40.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_red_20_0_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_red_30_0_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_red_40_0_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_yellow_10_10_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00002_940928_fb_yellow_30_30_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_931230_fa_a_cyan_0_10_10.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_931230_fa_a_red_30_0_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_931230_fa_a_yellow_30_30_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_blue_0_0_20.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_blue_0_0_30.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_blue_0_0_40.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_cyan_0_10_10.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_cyan_0_20_20.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_cyan_0_30_30.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_green_0_20_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_green_0_40_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_magenta_30_0_30.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_magenta_40_0_40.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_none_20_40_20.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_red_20_0_0.jpg,Unnatural Colour
UnnaturalColor\color_cast\00003_941121_fb_red_30_0_0.jpg,Unnatural Colour
