path,ground truth
NoUnnaturalColours\FERET\NaturalColor\00002_940928_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00002_940928_fb.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00002_940928_fb_saturation_0.8.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00002_940928_fb_saturation_1.0.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00003_931230_fa_a.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00003_941121_fb.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00003_941121_fb_saturation_0.8.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00003_941121_fb_saturation_1.0.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00005_941121_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00013_931230_fb.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00013_931230_fb_saturation_0.8.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00013_931230_fb_saturation_1.0.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00019_940128_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00019_940422_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00019_940422_fa_saturation_0.8.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00019_940422_fa_saturation_1.0.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00020_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00024_940128_fa_a.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00028_940128_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00029_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00029_960620_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00029_960620_fa_saturation_0.8.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00029_960620_fa_saturation_1.0.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00038_940128_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00040_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00043_931230_fb.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00043_931230_fb_saturation_0.8.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00043_931230_fb_saturation_1.0.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00044_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00045_931230_fa_a.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00046_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00048_931230_fa_a.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00049_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00050_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00051_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00052_931230_fa.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00054_931230_fa_a.jpg,Natural Colour
NoUnnaturalColours\FERET\NaturalColor\00055_931230_fa_a.jpg,Natural Colour
