path,ground truth
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000046_IEU+00_PM+00_EN_A4_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000046_IEU+00_PM+00_EN_A5_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000046_IEU+00_PM+00_EN_A6_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000214_IEU+00_PM+00_EN_A4_D0_T0_BB_M0_R0_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000214_IEU+00_PM+00_EN_A5_D0_T0_BB_M0_R0_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000214_IEU+00_PM+00_EN_A6_D0_T0_BB_M0_R0_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000390_IEU+00_PM+00_EN_A4_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000390_IEU+00_PM+00_EN_A5_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FM_000390_IEU+00_PM+00_EN_A6_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FO_000270_IEU+00_PM+00_EN_A4_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FO_000270_IEU+00_PM+00_EN_A5_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FO_000270_IEU+00_PM+00_EN_A6_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FO_000363_IEU+00_PM+00_EN_A4_D0_T0_BB_M0_R0_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FO_000363_IEU+00_PM+00_EN_A5_D0_T0_BB_M0_R0_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FO_000363_IEU+00_PM+00_EN_A6_D0_T0_BB_M0_R0_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FY_000007_IEU+00_PM+00_EN_A4_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FY_000007_IEU+00_PM+00_EN_A5_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FY_000007_IEU+00_PM+00_EN_A6_D0_T0_BB_M0_R1_S0.tif,Head Covering
NoHeadCovering\CAS-PEAL-R1\testset\head_covering\FY_000010_IEU+00_PM+00_EN_A4_D0_T0_BB_M0_R1_S0.tif,Head Covering
