path,ground truth
NoHeadCovering\CelebAMask-HQ\head_covering\6.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\24.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\34.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\43.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\167.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\179.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\190.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\451.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\488.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\528.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\575.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\596.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\658.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\715.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\718.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\754.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\760.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\822.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\855.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\859.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\878.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\924.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\972.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1000.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1036.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1044.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1045.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1112.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1178.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1197.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1275.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1322.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1384.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1404.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1442.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1461.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1491.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1549.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1598.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1615.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1629.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1650.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1651.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1798.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1827.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1856.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1933.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1941.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\1967.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2042.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2043.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2131.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2180.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2195.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2210.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2237.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2245.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2261.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2262.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2279.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2289.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2316.jpg,Head Covering
NoHeadCovering\CelebAMask-HQ\head_covering\2369.jpg,Head Covering
