path,ground truth
OverExposure\ARFace\NotOverExposed\m-001-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-001-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-002-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-002-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-003-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-003-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-004-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-004-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-005-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-005-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-006-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-006-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-007-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-007-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-008-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-008-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-009-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-009-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-010-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-010-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-011-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-012-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-012-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-013-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-013-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-014-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-014-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-015-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-015-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-016-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-016-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-017-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-017-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-018-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-018-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-019-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-019-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-020-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-020-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-021-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-021-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-022-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-022-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-023-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-023-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-024-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-025-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-025-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-026-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-026-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-027-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-027-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-028-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-029-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-030-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-030-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-031-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-031-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-032-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-032-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-033-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-033-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-034-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-034-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-035-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-036-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-036-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-037-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-037-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-038-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-038-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-039-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-039-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-040-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-040-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-041-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-041-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-042-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-042-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-043-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-043-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-044-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-044-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-045-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-045-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-046-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-046-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-047-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-047-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-048-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-048-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-049-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-049-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-050-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-051-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-051-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-052-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-052-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-053-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-053-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-054-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-054-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-055-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-055-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-056-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-056-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-057-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-058-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-058-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-059-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-059-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-060-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-060-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-061-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-061-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-062-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-063-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-064-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-065-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-065-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-066-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-066-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-067-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-067-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-068-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-069-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-069-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-070-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-070-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-071-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-071-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-072-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-072-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-073-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-073-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-074-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-074-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-075-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-075-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-076-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\m-076-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-001-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-002-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-002-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-003-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-003-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-004-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-004-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-005-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-005-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-006-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-007-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-007-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-008-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-008-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-009-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-009-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-010-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-011-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-011-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-012-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-012-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-013-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-013-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-014-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-014-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-015-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-015-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-016-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-016-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-017-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-017-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-018-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-018-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-019-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-019-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-020-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-020-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-021-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-021-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-022-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-022-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-023-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-023-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-024-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-024-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-025-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-025-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-026-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-026-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-027-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-027-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-028-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-028-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-029-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-029-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-030-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-030-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-031-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-031-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-032-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-032-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-033-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-033-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-034-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-034-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-035-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-035-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-036-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-036-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-037-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-037-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-038-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-038-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-039-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-039-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-040-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-040-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-041-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-041-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-042-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-042-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-043-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-043-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-044-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-044-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-045-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-045-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-046-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-046-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-047-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-048-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-048-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-049-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-050-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-050-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-051-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-051-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-052-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-052-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-053-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-053-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-054-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-054-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-055-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-055-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-056-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-057-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-057-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-058-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-058-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-059-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-059-14.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-060-1.jpg,Not Overexposed
OverExposure\ARFace\NotOverExposed\w-060-14.jpg,Not Overexposed
OverExposure\ARFace\OverExposed\m-001-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-001-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-002-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-002-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-003-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-003-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-004-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-004-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-005-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-005-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-006-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-006-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-007-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-007-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-008-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-008-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-009-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-009-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-010-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-010-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-011-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-012-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-012-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-013-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-013-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-014-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-014-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-015-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-015-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-016-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-016-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-017-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-017-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-018-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-018-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-019-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-019-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-020-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-020-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-021-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-021-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-022-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-022-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-023-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-023-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-024-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-025-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-025-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-026-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-026-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-027-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-027-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-028-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-029-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-030-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-030-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-031-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-031-7.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-032-20.jpg,Overexposed
OverExposure\ARFace\OverExposed\m-032-7.jpg,Overexposed
