path,ground truth
BackgroundUniformity\FRGC\BGuniform\02463d184.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\02463d252.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\02463d265.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\02463d503.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\02463d576.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04201d329.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d177.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d200.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d369.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d370.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d386.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d407.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d489.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d497.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d498.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04202d72.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04203d140.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04203d204.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04207d97.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04212d121.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04212d145.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04212d162.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04212d204.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04212d222.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04213d125.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04213d142.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04217d178.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04219d102.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04219d216.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04219d359.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04221d115.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04221d197.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04221d198.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04221d206.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04221d377.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04222d136.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04222d151.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04222d196.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04222d201.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04225d102.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04225d223.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04225d312.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04225d321.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04225d323.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04228d123.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04229d84.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04233d136.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04233d149.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04233d168.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04233d197.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04233d339.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04233d43.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04233d449.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04237d78.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04239d122.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04239d157.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04239d173.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04239d186.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04239d464.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04243d159.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04243d178.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04243d185.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04243d190.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04243d207.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04256d182.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04256d196.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04256d197.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04261d272.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04261d278.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04261d305.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04261d307.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04265d298.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04274d172.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04274d174.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04274d25.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04274d77.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04274d89.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04274d97.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04279d20.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04282d36.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04282d68.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04282d74.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04286d07.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04286d199.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04286d236.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04286d293.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04286d311.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04286d358.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04286d73.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04287d17.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04287d24.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04288d203.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04288d218.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04288d275.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04288d282.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04288d70.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04295d36.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04295d61.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04297d236.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04298d29.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04300d179.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04300d187.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04301d201.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04301d326.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04301d62.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04302d02.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04302d53.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04305d104.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04305d119.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04305d15.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04305d166.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04305d62.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04308d75.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04311d194.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04311d222.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04311d224.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04311d270.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04312d156.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04312d166.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04313d32.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04314d55.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04314d56.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04315d102.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04315d113.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04315d55.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04315d90.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04316d121.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04316d65.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04316d92.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04317d37.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04319d135.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04319d136.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04319d142.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04319d173.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04319d227.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04320d108.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04320d242.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04320d70.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04321d71.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04321d88.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04322d102.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04322d109.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04322d55.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04323d03.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04323d94.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04324d232.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04324d236.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04324d249.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04324d295.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04324d315.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04327d226.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04327d239.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04327d374.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04327d67.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04327d80.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04329d56.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04329d92.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04334d121.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04334d238.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04334d275.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04334d325.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04334d396.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04334d73.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04336d217.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04336d320.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04338d59.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04339d118.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04339d282.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04339d35.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04341d172.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04341d61.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04343d256.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04343d280.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04343d352.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04344d116.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04344d218.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04344d224.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04344d289.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04347d240.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04347d332.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04347d352.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04349d266.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04349d281.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04349d284.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04349d292.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04349d398.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04350d117.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04350d122.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04350d308.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04350d62.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04350d90.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04360d117.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04360d124.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04360d76.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04361d171.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04361d183.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04361d30.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04361d43.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04361d84.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04361d93.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04365d165.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04365d272.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04365d54.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04365d93.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04366d50.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04366d58.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04367d00.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04367d26.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04367d63.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04367d66.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04368d00.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04368d102.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04369d66.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04370d09.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04370d173.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04370d202.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04370d37.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04371d109.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04372d220.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04372d230.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04372d298.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04372d67.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04372d84.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04372d97.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04373d14.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04373d27.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04374d104.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04374d111.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04374d19.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04374d86.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04376d08.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04376d103.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04376d18.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04376d46.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04378d06.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04378d215.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04379d117.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04379d58.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04380d145.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04382d33.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04382d75.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04385d132.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04385d151.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04385d266.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04385d349.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04385d361.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04385d75.jpg,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04386d14.JPG,Uniform Background
BackgroundUniformity\FRGC\BGuniform\04386d145.jpg,Uniform Background
