path,ground truth
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-001-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-001-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-002-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-002-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-003-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-003-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-004-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-004-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-005-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-005-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-006-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-006-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-007-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-007-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-008-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-008-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-009-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-009-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-010-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-010-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-011-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-012-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-012-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-013-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-013-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-014-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-014-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-015-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-015-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-016-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-016-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-017-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-017-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-018-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-018-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-019-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-019-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-020-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-020-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-021-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-021-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-022-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-022-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-023-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-023-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-024-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-025-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-025-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-026-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-026-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-027-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-027-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-028-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-029-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-030-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-030-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-031-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-031-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-032-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-032-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-033-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-033-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-034-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-034-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-035-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-036-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-036-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-037-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-037-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-038-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-038-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-039-18.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-039-5.jpg,Non Uniform Illumination
IlluminationUniformity\ARFace\Class_NonUniformIllumination\LeftIllumination\m-040-18.jpg,Non Uniform Illumination
