path,ground truth
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\001_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\001_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\001_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\001_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\001_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\001_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\002_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\002_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\002_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\002_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\002_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\002_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\003_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\003_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\003_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\003_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\003_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\003_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\004_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\004_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\004_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\004_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\004_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\004_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\005_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\005_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\005_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\005_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\005_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\005_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\006_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\006_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\006_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\006_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\006_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\006_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\007_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\007_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\007_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\007_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\007_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\007_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\008_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\008_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\008_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\008_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\008_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\008_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\009_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\009_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\009_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\009_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\009_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\009_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\010_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\010_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\010_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\010_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\010_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\010_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\011_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\011_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\011_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\011_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\011_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\011_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\012_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\012_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\012_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\012_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\012_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\012_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\013_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\013_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\013_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\013_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\013_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\013_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\014_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\014_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\014_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\014_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\014_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\014_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\015_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\015_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\015_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\015_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\015_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\015_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\016_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\016_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\016_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\016_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\016_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\016_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\017_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\017_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\017_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\017_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\017_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\017_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\018_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\018_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\018_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\018_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\018_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\018_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\019_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\019_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\019_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\019_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\019_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\019_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\020_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\020_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\020_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\020_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\020_01_01_051_12.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\020_01_01_051_13.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\021_01_01_051_01.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\021_01_01_051_02.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\021_01_01_051_03.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\021_01_01_051_11.jpg,Non Uniform Illumination
IlluminationUniformity\CMU Multi-PIE\Class_NonUniformIllumination\021_01_01_051_12.jpg,Non Uniform Illumination
